1252 0
869 691
1287 1238
1992 835
1277 183
1491 1668
138 1604
674 1833
1467 1414
1853 1893
632 1164
1029 159
1604 307
1698 1170
1281 1752
725 476
918 417
468 69
2046 1245
472 1157
1186 802
557 317
918 947
1834 1790
318 1154
622 1364
955 1203
472 1173
816 1312
918 947
1604 519
208 1733
74 1151
1998 133
632 1164
332 1637
1903 431
124 1737
1998 647
1340 1059
1998 678
1657 620
830 1360
1367 494
1029 917
1893 1140
1275 1801
1864 209
16 1406
789 244
203 931
749 677
1405 298
830 462
1340 208
1215 148
632 1164
94 462
48 2005
72 1733
1269 1684
1692 1059
1834 645
103 1737
1487 1168
1667 199
595 1709
336 84
530 503
1416 1780
1667 647
827 1569
782 179
1237 711
1027 1376
818 965
830 1364
1019 64
805 548
861 407
1044 1587
742 1527
816 427
132 1171
117 1527
709 1253
246 64
830 1522
1659 148
246 149
27 1029
725 476
225 1018
1456 468
852 182
1516 1767
111 1790
1779 706
1422 468
1898 1269
1165 1301
1387 256
1593 1948
773 1765
1581 677
707 1986
1998 741
1653 1669
1340 1235
919 503
739 1990
244 1140
557 388
1665 275
656 411
1943 1551
1512 1461
183 809
785 109
759 1297
1834 1014
209 1495
1656 431
919 503
1237 439
1029 215
242 587
616 576
183 572
841 653
1103 1008
1800 1233
1719 899
1106 1188
943 438
1436 1789
1625 441
557 133
479 1806
306 1180
1487 1111
919 503
622 1574
936 617
1657 988
150 704
805 714
1029 917
1895 501
794 1364
70 1460
1556 775
745 1801
1332 577
1799 1041
1943 1586
1893 1120
1240 1459
1340 212
773 691
1014 96
651 1075
930 723
182 441
1287 138
1943 1586
766 1412
1438 307
60 1737
1547 1156
1956 1237
786 317
750 962
650 1749
1665 503
1644 118
1669 1732
117 2039
1355 772
1713 2020
1665 787
1591 1168
479 744
1944 916
869 213
17 5
683 130
1009 1156
1919 879
381 1426
963 1758
869 667
280 805
830 1406
424 1236
1061 307
1186 562
769 809
1475 677
1269 1011
1118 1957
1698 1776
1992 1217
739 1778
1665 275
209 841
48 1406
418 559
1376 745
315 618
186 243
857 493
827 497
1452 151
1640 1159
725 1380
1106 179
632 1158
1394 1952
1103 884
918 169
225 296
1258 1751
595 1660
171 1158
1665 407
1055 1585
1487 1430
238 1450
2005 933
939 1525
966 415
24 441
1627 917
700 1076
531 179
218 1081
1340 515
827 1569
1733 151
332 1771
1243 998
1825 664
563 54
1909 51
782 947
930 962
138 604
749 1237
830 230
1323 35
963 2004
656 51
1998 645
27 672
1019 576
1475 711
1852 910
1667 199
318 1166
557 1119
844 1434
1556 775
1956 1169
1340 751
24 441
1665 275
67 1236
837 766
424 684
1094 1043
411 1876
1382 951
202 1780
1848 137
691 1586
280 663
1615 108
1268 1139
674 809
182 1195
1903 431
1667 214
1603 112
936 1642
1618 441
1604 307
1957 254
1684 1
1487 1492
1044 936
691 901
254 1412
1475 647
318 1411
535 517
1382 658
797 688
1452 1781
150 899
209 556
1450 499
235 1827
382 1709
122 181
691 677
792 307
1269 1237
863 840
398 1426
1665 387
1240 307
1319 1339
332 1585
122 1018
48 378
1186 562
1857 1684
799 1714
1416 1780
398 1207
1269 2005
84 256
1903 1775
1925 754
203 48
1780 1016
230 1450
188 1479
885 1713
1896 139
225 625
1570 1781
396 1510
496 403
942 1013
1422 886
1179 574
825 1904
1387 517
580 1665
919 503
33 1271
1587 1154
1667 199
99 1616
1998 133
861 785
228 640
1698 1908
1883 773
1558 116
229 232
1665 1435
1857 1604
1512 1444
1269 1800
404 1154
1382 1007
424 1268
1094 50
1106 161
1029 941
1851 645
844 1451
1243 2038
1029 661
1713 1159
1854 1075
27 1029
1487 1220
228 407
1665 275
995 1768
396 176
759 787
642 478
468 124
398 1166
1998 133
278 1158
1895 509
1103 102
520 1511
60 1736
396 1510
642 348
739 1986
1271 1329
1323 899
1376 745
918 524
1581 1781
1883 916
468 124
54 20
1576 566
1943 1586
966 275
1445 2005
731 1195
1800 789
1186 818
563 1268
1816 1176
1414 1853
1240 1331
1665 441
1660 337
1000 1643
53 680
1179 1053
1820 1996
1834 1012
1917 1157
1456 468
888 1140
960 905
1857 1441
2046 1168
1512 1461
1669 2004
150 776
794 366
51 1584
983 373
203 931
1992 1635
818 981
1392 1173
1439 1531
1387 517
163 1169
236 438
869 669
1883 661
1853 653
209 1785
1044 1593
919 248
1376 1565
837 1198
1998 805
1925 1962
1800 1232
1903 1775
1191 706
1858 1142
1061 403
545 1653
1791 252
674 966
195 1733
1438 51
983 438
81 775
1240 272
830 1893
783 1172
1173 704
1613 1140
1628 1668
1306 752
1940 215
546 63
715 934
1974 637
966 275
315 1584
1268 1780
424 684
1336 810
1475 711
1445 85
1613 1629
1323 647
468 124
1487 1109
725 1366
816 738
452 86
1644 118
546 84
1896 1162
458 1637
1371 1168
749 645
739 1493
1357 22
1243 254
983 118
110 2029
209 752
869 945
225 1018
874 559
1487 1220
1903 431
1276 1333
1445 371
1874 1515
351 647
686 768
1660 469
1998 287
1512 1444
674 1744
1188 226
825 1904
805 1477
468 469
110 1191
1126 410
1156 1050
1340 1621
816 1450
53 821
1680 1271
1271 1447
642 478
1665 1439
966 439
160 744
468 80
1957 1729
1340 571
1781 1584
857 1774
1800 1520
1106 1331
1224 1990
1061 307
702 562
884 669
1799 709
1451 1446
84 4
1531 494
1190 1175
1713 1688
1211 1180
930 727
182 433
1834 1758
1825 1972
1439 745
238 1451
1834 1244
963 998
919 248
1581 405
446 462
1025 502
203 562
1281 1756
894 1526
79 1220
1029 917
981 342
1156 1138
894 1526
894 230
1898 1269
1534 1203
1103 628
1692 1083
1156 1277
739 1667
1500 1366
202 1147
186 1527
832 550
120 307
1576 566
1224 1986
1193 1068
1445 371
436 482
315 635
1055 1585
1243 998
622 562
1100 929
642 466
1667 307
1692 755
1637 407
1781 899
2046 1233
1055 1637
1883 913
1568 1316
1912 228
1547 624
1237 624
733 1904
203 160
1944 988
1836 739
315 618
17 5
1857 1797
668 764
942 309
99 673
479 672
709 210
188 1479
1615 108
857 2023
514 1737
1930 1623
1237 149
1211 1180
1893 20
1674 1239
1364 722
1760 1260
1852 1671
110 1639
890 663
225 1104
960 671
177 1493
1979 766
1382 407
1441 209
733 1642
894 478
893 1157
1103 630
983 244
1857 1828
1581 131
981 342
749 677
1452 151
1416 1780
1957 1729
1898 1269
331 420
242 587
739 1667
99 1616
1029 917
1336 810
563 1268
254 1412
1240 1523
138 604
1665 307
1445 371
436 482
1656 431
122 181
398 54
1659 148
468 69
1669 2004
1019 576
1667 214
1323 647
188 1223
54 20
1944 988
418 559
1547 624
103 1737
1094 1043
1323 899
1269 1800
1240 1459
861 411
1106 161
782 146
1000 1643
786 829
650 1749
1103 628
468 1136
1925 1912
1106 179
228 640
844 1451
546 84
557 133
1591 1154
668 764
1269 1011
53 821
1998 805
1779 706
225 1018
1834 1790
468 124
225 1018
225 625
1193 1068
861 407
1956 1239
1475 677
616 576
1628 1668
94 462
725 1366
1864 209
1791 252
48 1406
1956 1111
789 244
1512 1461
163 1107
983 373
1179 1053
182 441
642 466
1660 337
832 550
837 766
229 232
884 669
805 1062
1665 275
1029 215
641 411
830 1522
894 478
1475 647
1156 1138
919 503
