"","227157104201155121157","229157104201141121157","227157106199155121150","231157104201157121133","227158104193155121150","227157104183157121147","227158104197155121150","227157104201155127157","229157104199155121150","233158104199157121150","231157104201155121150","225157104201155121150","231157104199157121147","221157104202155121198","229157104201155121133"
"163295229255317238187173",48,0,0,0,0,0,0,45,0,0,0,0,0,0,0
"195295229239279238187182",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"163295229241317184187173",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"155299229249297238187182",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"155297239259307238187182",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"163297239217311238187182",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"155297239261307238187182",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"153295229241309238187209",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"161295229286319238187182",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"163297229185297238187209",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"155297229226311238187209",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"163297229239307238187209",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"181297229224297238187209",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"159297229232279238187209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
