"","223157104204167121154","227157102202155124150","227157102206155121147","231157102202159121201","227157102204146121201","221157102197159121160","219157102202163121150","219157102201146121198","221165102206165121143","219157102197157121198","221165102206167121143","229165102202157124150","219157102204163121150","231157104202159121198"
"161297239200299238185182",9,0,0,0,0,0,0,0,0,0,0,0,0,0
"177295239241324238185182",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"179297239220307238185209",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"181295239220319194187182",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"183297239220319184189182",0,0,0,0,9,0,0,0,0,0,0,0,0,0
"179297239241283238185182",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"183297239288319238187182",0,0,0,0,0,0,9,0,0,0,0,0,0,0
"165312239234276184189425",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"163312239236274184191209",0,0,0,0,0,0,0,0,3,0,3,0,0,0
"179295239200338238185209",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"181295239214287184185182",0,0,0,0,0,0,0,0,0,0,0,4,0,0
"179295239187326238185209",0,0,0,0,0,0,0,0,0,0,0,0,16,0
"181295239220291194187182",0,0,0,0,0,0,0,0,0,0,0,0,0,1
