"","24415897176146127157","23715899247165118176","211167318185146137173","25215897189146144154","24015899235165118176","24615897189146144154","24615899247165118173","22915897189146137147","24016197178148144182","231161104168173147185","23715899241157118173","24416197178148144176","24816197187150137179"
"171312239238272238189182",1,0,0,0,0,0,0,0,0,0,0,0,0
"161312239238272238187182",0,1,0,0,0,0,0,0,0,0,0,0,0
"171312239186272238189200",0,0,1,0,0,0,0,0,0,0,0,0,0
"171312239232274238189515",0,0,0,10,0,10,0,0,0,0,0,0,0
"173312239216272238189200",0,0,0,0,1,0,0,0,0,0,0,0,0
"171312239248272238189416",0,0,0,0,0,0,1,0,0,0,0,0,0
"175312239260270238189182",0,0,0,0,0,0,0,1,0,0,0,0,0
"161312239226270238187182",0,0,0,0,0,0,0,0,1,0,0,0,0
"175312239240270204189182",0,0,0,0,0,0,0,0,0,1,0,0,0
"171312239232274238189524",0,0,0,0,0,4,0,0,0,0,0,0,0
"157312239242270238189182",0,0,0,0,0,0,0,0,0,0,1,0,0
"171312239238270238187182",0,0,0,0,0,0,0,0,0,0,0,1,0
"161312239226272238189182",0,0,0,0,0,0,0,0,0,0,0,0,1
