"","223158101218152127157","219165101227138137147","231172101218141140147","219165101227146137147","22315899218152127157","22515799222152133157","227148101229138133147","233165101222138137147","219165101227165137147","229158101216138133157","242165101225138137160"
"177297239214297238185182",6,0,0,0,6,0,0,0,0,0,0
"181295239286317184187182",0,24,0,28,0,0,0,0,27,0,0
"181295239187307238187191",0,0,1,0,0,0,0,0,0,0,0
"175297239238293238187182",0,0,0,0,0,1,0,0,0,0,0
"175295239218287184187182",0,0,0,0,0,0,4,0,0,0,0
"177295239234313238187191",0,0,0,0,0,0,0,9,0,0,0
"177295239236313238187191",0,0,0,0,0,0,0,1,0,0,0
"177295239234313238187182",0,0,0,0,0,0,0,0,0,1,0
"177295239214317238187182",0,0,0,0,0,0,0,0,0,0,1
